run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,ClosedLoop_MSE_avg,ClosedLoop_MAE_avg
1752704269,30,0.0001,64,5,128,64,2,0.003954939425080069,0.022148959520155248
1752704376,30,0.0001,64,10,128,64,2,0.0056825432729369005,0.028255325683808813
1752704479,30,0.0001,64,15,128,64,2,0.008376141392327873,0.04231778584297816
1752704584,30,0.0001,64,20,128,64,2,0.004470023096608252,0.022236241922501673
1752704687,30,0.0005,64,5,128,64,2,0.004088712579087792,0.0239998830675608
1752704791,30,0.0005,64,10,128,64,2,0.0028403370908895464,0.018189956133009832
1752704899,30,0.0005,64,15,128,64,2,0.0033775084685088055,0.02327218382565587
1752705004,30,0.0005,64,20,128,64,2,0.004484576024015003,0.02578057356046769
1752705108,30,0.001,64,5,128,64,2,0.0032765165728272394,0.023342485663621418
1752705214,30,0.001,64,10,128,64,2,0.004349448861664717,0.02739286911583567
1752705319,30,0.001,64,15,128,64,2,0.005367576394386277,0.031163978364174227
1752705424,30,0.001,64,20,128,64,2,0.010938901160681495,0.04758878475030143
1752705532,50,0.0001,64,5,128,64,2,0.003634387256170928,0.02222360329578807
1752705697,50,0.0001,64,10,128,64,2,0.0031430059261865068,0.01844221082879337
1752705864,50,0.0001,64,15,128,64,2,0.003987977959423655,0.026898810805855197
1752706034,50,0.0001,64,20,128,64,2,0.004187856968127556,0.024808278337114242
1752706202,50,0.0005,64,5,128,64,2,0.0027428384914472297,0.020429835168876125
1752706369,50,0.0005,64,10,128,64,2,0.0019254895128057042,0.0172996858734483
1752706536,50,0.0005,64,15,128,64,2,0.0028300787941686763,0.021477149956046604
1752706703,50,0.0005,64,20,128,64,2,0.0024116929357994843,0.018931901506836723
1752706873,50,0.001,64,5,128,64,2,0.0027429320129705153,0.02175924620736483
1752707042,50,0.001,64,10,128,64,2,0.0024662408793275914,0.020317829817902075
1752707208,50,0.001,64,15,128,64,2,0.0047663480759069414,0.030771276056281067
1752707376,50,0.001,64,20,128,64,2,0.005020829375347214,0.02553210924949972
1752707543,70,0.0001,64,5,128,64,2,0.002519599112164522,0.0162857361744014
1752707772,70,0.0001,64,10,128,64,2,0.003241705583170241,0.02186861406610786
1752707999,70,0.0001,64,15,128,64,2,0.0026376474217142984,0.017855893617274108
1752708230,70,0.0001,64,20,128,64,2,0.0027845201777479144,0.01737027801084449
1752708457,70,0.0005,64,5,128,64,2,0.0018014451855268964,0.0150689578512771
1752708688,70,0.0005,64,10,128,64,2,0.0016822093602669411,0.015232466087720211
1752708914,70,0.0005,64,15,128,64,2,0.00232268969018312,0.021288649525974937
1752709138,70,0.0005,64,20,128,64,2,0.0016692089033507752,0.014563835731034216
1752709367,70,0.001,64,5,128,64,2,0.004005595407593644,0.021806047140891776
1752709592,70,0.001,64,10,128,64,2,0.004703908234459256,0.02684825447171053
1752709823,70,0.001,64,15,128,64,2,0.003534577692628908,0.024968619500781015
1752710053,70,0.001,64,20,128,64,2,0.0023524726894049103,0.02137467329888242
1752710281,90,0.0001,64,5,128,64,2,0.002603430671610225,0.018827573539430948
1752710572,90,0.0001,64,10,128,64,2,0.0020025505066800643,0.01570640519217113
1752710861,90,0.0001,64,15,128,64,2,0.003138279376774232,0.02311114681404533
1752711151,90,0.0001,64,20,128,64,2,0.002592057775850472,0.017663702657503593
1752711443,90,0.0005,64,5,128,64,2,0.002686560755969368,0.02320561374629317
1752711734,90,0.0005,64,10,128,64,2,0.0015041036724850944,0.016376392242670217
1752712023,90,0.0005,64,15,128,64,2,0.0010354160283422003,0.012485498712807736
1752712318,90,0.0005,64,20,128,64,2,0.0023723064516794207,0.017415250134119955
1752712614,90,0.001,64,5,128,64,2,0.0015797814698913944,0.01697853621829846
1752712903,90,0.001,64,10,128,64,2,0.0019460210328983733,0.017279308773327555
1752713193,90,0.001,64,15,128,64,2,0.002101156181336426,0.01956885613250731
1752713482,90,0.001,64,20,128,64,2,0.0036731044461118536,0.025985835071049058
